Wind Average ( MPH ),AC Output Total Power (Active)(W)
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,1.2055555555555555
12.0,2.845625
13.0,59.1
14.0,18.1934375
15.0,25.424
16.0,21.29025
17.0,61.88594594594594
18.0,32.15038461538462
19.0,29.79108108108108
20.0,24.725945945945945
21.0,26.44157894736842
22.0,18.978
23.0,14.119166666666667
24.0,5.064871794871795
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
47.0,0.0
