Wind Average ( MPH ),AC Output Total Power (Active)(W)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.648
9,12.024
10,9.042857143
11,29.9504
12,68.41741935
13,105.4304762
14,91.69826087
15,171.39
16,158.4467568
17,220.3472549
18,265.88
19,354.7098182
20,370.7072727
21,361.0763333
22,368.223
23,434.5935714
24,528.4425
25,607.9441176
26,769.225
27,677.5828571
28,703.1117647
29,763.41
30,1054.708889
31,844.4890909
32,864.5533333
33,1158.195556
34,1328.248889
35,1279.34
36,1239.554
37,1136.202
38,904.582
39,838.475
40,1475.085
41,987.79
43,1405.4
47,1117.93
